hour,LSTM_pred,XGBoost_pred
06:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813 ,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813 ,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813 ,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813,18.597813"
06:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.499811,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811
,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811
,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811
,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811,18.499811
,18.499811,18.499811"
06:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.503931,18.503931,18.503931,18.503931,18.503931,18.503931,18.503931
,18.503931,18.503931,18.503931,18.503931,18.42624,18.42624,18.42624
,18.42624,18.42624,17.94191,17.63531,17.517786,17.517786,17.517786
,17.517786,17.517786,17.517786,17.517786,17.517786,17.517786,17.517786
,17.517786,18.110537"
06:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.805347,18.698593,18.366228,18.156166,18.156166,18.156166,18.156166
,18.156166,18.156166,18.156166,18.156166,18.156166,18.156166,18.156166
,17.848324,17.848324,17.848324,17.848324,17.848324,17.848324,17.848324
,17.848324,17.848324,17.848324,17.848324,17.848324,17.848324,17.848324
,17.848324,17.848324"
07:00:00,"18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0","16.05171,16.05171,16.05171,16.05171,16.05171,16.05171,16.05171
,16.05171,16.05171,16.05171,16.05171,16.05171,16.05171,15.995114
,15.653174,15.653174,15.653174,15.317344,15.317344,15.247006,15.247006
,15.247006,15.247006,15.247006,15.247006,15.247006,15.247006,15.247006
,15.247006,15.247006"
07:15:00,"18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0","16.964434,16.964434,16.225842,16.225842,15.370985,15.370985,15.370985
,15.370985,15.370985,15.318902,15.318902,15.318902,15.318902,15.318902
,15.318902,15.318902,15.300468,15.300468,14.696604,14.696604,14.696604
,14.696604,14.397058,14.397058,14.397058,14.397058,14.397058,14.397058
,14.397058,14.397058"
07:30:00,"18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0","16.711117,16.311745,16.311745,15.628509,15.628509,15.557545
,15.557545,14.881928,14.698313,14.698313,14.698313,14.678715
,14.678715,14.678715,14.678715,14.678715,14.678715,14.678715
,14.314208,14.17205,,14.105955,14.105955,14.0600815,13.909335
,13.909335,13.867597,13.819547,13.702131,13.702131,14.535907,"
07:45:00,"15.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0","15.1833725,15.1833725,15.1833725,15.122034,15.122034,15.122034
,15.122034,15.122034,15.122034,15.122034,15.202863,15.145862
,15.025465,15.025465,14.175787,14.175787,14.175787,14.175787
,14.175787,14.175787,14.175787,14.175787,14.04001,,13.755671
,13.696183,13.696183,13.696183,13.696183,13.304561,13.304561,"
08:00:00,"14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0","13.151817,13.151817,13.151817,13.151817,13.151817,13.151817,13.151817
,13.054792,12.468319,12.468319,12.468319,12.468319,12.468319,12.068807
,12.068807,12.068807,12.068807,12.068807,12.068807,10.884305,10.139064
,10.139064,9.531233,9.531233,9.414122,9.414122,9.414122,9.414122
,9.414122,9.414122"
08:15:00,"11.0, 11.0, 11.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0","11.852623,11.852623,11.795489,11.712701,10.680312,10.661693
,10.661693,,9.759994,,9.759994,,9.759994,,9.081888,,9.169378
,9.169378,,9.169378,,9.169378,,8.326929,,8.326929,,7.3996854
,6.8631215,7.064887,,7.4267187,7.4267187,7.4267187,7.0071015
,7.0071015,7.0071015,7.0071015,7.0071015,7.0071015,7.0071015"
